stride			跨过，进展
coordinate		坐标，并列
border			边界，边境
appendixes		附录
significant		重要的，有意义的
constantly		不断的，时常的
mention 		提到，提及
accordingly		相应的，因此，于是
prototype		原型，标准，模范
target			目标，靶子
obtain			获得
realize			意识到，实现，了解
snippet			片段，小片
bare			空的，赤裸的
handy			方便的，便利的
opposite		相反，对立面
potentially		潜在的，可能的
nutshell		简而言之，概括
fix				修复，使固定
repair			修理，修补
explain			解释，说明
sake			目的，为了
sense			感觉，理智，观念
inside			内部，之内
accomplishment	成就，完成
redirecting		重定向
detour			绕道，便道
lane			车道，航线
credit			信任，信贷
weird			不可思议的，奇怪的
manipulate		操作，操纵
figure out      算出，理解，解决
grammar			语法
syntax			语法
previous		以前的，先前的
monitor			监控
summary			总结，概要
leak			泄露，裂缝
submission		提交，投降，屈服
draft			草案，草稿，设计
stage			阶段，上演
avoid			避免，避开
moderator		主持人，调解人
appear			出现，显得
approve			批准，赞成，满意
curious			好奇的，有求知欲的
various    		各种各样的，多方面的
conclusion		结论，结局，推论
primitive		原始的，简单的
mnemonic		助记符
compose			组成，构成
decimal         小数，十进位的
efficient		有效率的，生效的
precise			精确的，明确的
indicate		表明
auxiliary		辅助的，副的
borrow			借，借用
frequent		经常，频繁
reaction		反应，反作用
miscellaneous	杂项，多方面的，多才多艺的
parallel		平行，类似的
improvement		改进，改善
scalar			标量，数量
shuffle			洗牌，混乱，搅乱
mask			面具，掩饰,使模糊
negate			否定，取消，使无效
absolute		绝对
prefetch		预取
fence			栅栏，围墙，剑术
properties		属性，性能，内容
diagram			图，图表，图解
granularity		粒度，间隔尺寸
measure			测量，估量
streamline      简化
strategy		策略，战略
derived			源自，得自，起源
respective		各自的，分别的
appropriate		适当的，合适的
approach		方法，途径
inspect			检查，检阅 
variety			各种，多样
saver			储蓄者，节俭的人
besides			除了，此外
effective		有效的，起作用的
elevate			提升
scanner			扫描仪
forensics		取证，辩论术
extensive		广泛的，大量的
audit			审计，查账，旁听
customize		定制
verify			验证，核实
integrity		完整，正直，诚实 
dig				挖,挖掘
bloat			膨胀，自满
daily			每天，日常的
recognize		识别，认出
benefit			好处，有益
malware			恶意软件
vulnerability   弱点，脆弱性
incredible		惊人的，难以置信的
rate			率，比率
dissect			解剖，仔细分析
rapidly			迅速，立即
malicious       恶意的，恶毒的，怀恨的
granted			授予，碾碎
distribute		分发，分配
invariant		不变的
variant			变体，变量，不一致的
In addition     除了，此外
trademark		商标
smooth			光滑的，平稳的，顺利的
electronic		电子，电子的
transparent		透明的，坦率地，易懂的
term			术语，学期，期限
interpret		解释，说明，翻译
dealing			处理，交易
robust			健壮的，健康的，粗野的
octal			八进制
optimization    优化，最佳化 
further			进一步，增进
idiom			成语，习语
dedication		奉献，献身
poet			诗人
poem			诗 
essay			文章，诗
convey			传达，传输
masterful		熟练的
succinct		简洁的，简明的
taste			味道，品味，体验
tend to			倾向于
advance			推进，发展，先进的
massive			巨大的，大量的
attempt			尝试，试图，攻击
exposure		曝光，暴露
discourage		气馁
courage			勇气，胆量
capable			有能力的，有才华的
horizon			视野，眼界，地平线
requirement		要求，必要条件
gate			门，出入口
roughly			约，概略的
obviously		很明显，显然的
consist			由，由……组成
wire			线，电线
accidentally    意外的，偶然的
digit			数字
customer		客户
prepare			准备，预备
cycle			周期，循环
employee		员工，雇员
responsible		负责的，可靠的
colon			冒号
dividend		被除数，利息
quotient		商，商数
aware			意识到，明白
rescue			解救，营救
recap			概括，回顾
complex			复数，复合体
interoperate    交互操作，互用
revert			还原
distinguish		区分，区别
burden			负担，重负
compatible		兼容的，共用的
specification   规范，说明书
scrap			报废，废弃
recursive		递归的，循环的
strech			伸展，延伸
factorial		阶乘的，代理商的
eventually		最后，终于
directive		指示，命令
pull			拉，吸引
After all		毕竟，终究
persist			保持，维持
universal		普遍的
Afterwards		之后，后来
tedious			啰嗦的，单调乏味的
prompt			提示，促使
rare			极，稀少
separate		分离，区分
backslash		反斜杠，反斜线
slash			斜杠，斜线
quantity		量，大量
asterisk		星号，星标
alphabetically  按字母顺序，依字母的
span			跨越，跨度
huge			巨大的，极大的
gap				差距，间隙
likewise		同样的，类似的
inaccessible    难以达到的，不可得到的
transforms      转换，转化，改造
efficient       高效的，有能力的
individual		个体的，独特的
unresponsive    无反应的，未答复的
productive		多产的，有效益的
trigger			触发，引起
pattern			模式，模型，方式
principle		原理，原则，法则
doozy			独特的事物，异乎寻常的东西
academic		学术的，纯理论的
consecutive		连续不断的，连贯的
sudden			突然
circulation     流通，循环
remainder		余数，剩余的
hallway			走廊，过道
tricky			难办的，棘手的，狡猾的
shift			转移，改变
rotate			旋转，转动，转换
imply			暗示，意味着
automatically   自动的，自然地，无意识的
finite			有限的，限定的
infinite		极大的，无法衡量的
prefixed		前缀
spark			引发，点燃
cumbersome		麻烦的，讨厌的
marketable      容易出售的，畅销的
bracket 		方括号，中括号
complexity		复杂性，难懂，难题
trivial			不重要的，琐碎的
Optimization    最佳化，优化
profiler        分析器，分析工具
accomplish      完成，实现
tackle			处理，阻截
authoritative   权威的，官方的
reaction		反应，感应
appropriate     合适的，适当的
opportunity     机会，时机
widget			小工具，部件
burdensome      累赘的，繁重的
distributions   分布，分配
Parity			奇偶，奇偶性 (PF Parity Flags)
inversion       倒置，颠倒
alter			更改，改动
ambiguous		含糊的，模棱两可的
literature      资料，文献
irrelevant      无关的
spell out       清楚地说明
electronic 		电子
vendor			供应商
efficiency      效率，效能
rearrange		重排，重新整理
crash			碰撞，崩溃
examine			检查，考试
present			目前，现在
branch			分支，分叉
culprit			罪犯，引发问题的事物
inquiry			调查，追究
iteration		迭代，反复
verbatim        逐字的，一字不差的
artificial		人工的，人造的
intelligence    智力，智能
tiny			极小的，微小的
exponent		指数，幂，解释者
linear			线性的，线状的
atomic			原子的，原子性
synchronous     同时发生的，同步的
correspondence  通信，通信联系
factor			因素
maskable		屏蔽操作的，可屏蔽(中断)
fault			故障，错误
exceed			胜过，超过
immune			免疫，不受影响
constraint		约束，限制
similar			类似的，相似的，同样的
reduce			减少，简化，降低
performance     性能，表现
medium			媒体，手段
break up		打碎，破坏
strict			严格，严谨
prologue		序幕，序章
desire			期望，渴望
portable		便携式的，可携带的
port			端口，移植(软件)
Arbitrary		任意的，随意的
Abbreviation    缩写，简称
invocation		调用，祈祷
rely			依靠，依赖
illustration    插图，示例
self-containment自给自足
facility		设备，天赋
prefix			前缀
phase			阶段，时期
alternate       交替，轮流
preemptive      抢占式，优先权的
Preliminaries   预备知识，初步的
Capabilities    性能，功能
fill out        填写，填充
triangle		三角形
scene           场景，现场，情景
geometric		几何的
cube			立方体
component		成分，部件
filter			过滤，滤镜
transparency    透明度
partical		粒子，颗粒
cartoon			卡通
technique		技巧，方法
Intrinsic       固有的，本质的
bibliography    目录学
intentional     故意的，有意的
assistance      帮助，协助
up-to-date      最新的
graphics        图像，图形
ingenuity		独创性
prerequisite    前提，必要条件
requisite		必须的，必要的
emulate			模仿，模拟
Typically       通常，往往
Consequently    于是，因此
alternative     替换物，另类的
expert			专家，行家
verbose			详细的
despite			尽管
remain			留下，保持
recently		最近
collision		抵触，碰撞
prepend			预置，预先准备
worth           价值，值得的
feedback        反馈，回馈
coincide 		相符，一致
emphasis		强调，重视 
dimension		尺寸，规模
legacy          遗产，传统
achieve         完成，时限
thumb 			拇指，大拇指
brilliant       卓越的，极好的
addictive       使人上瘾的，使人入迷的
contribute      贡献，捐献，投稿
eliminate		消除，排除
supersede       取代，代替
struggle		奋斗，斗争
accurate		正确的，精确的
clip			剪辑，修剪
Ironically      讽刺的是，出乎意料的是
identity        身份
reseller        经销商
contact			接触，联系
copyright       版权
Illustration    插图，示例
insufficient    不充足的，不适当的
commercial      贸易的，商业的
facilitate      促进，使容易
consecutive     连续的，连续不断的
paradigm        范例，典范
doubt			怀疑，不相信
virtually       几乎，实际上
flaw            裂缝，破绽
flawlessly      完美的
ensure			确定，确保
village         农村，村落
arduous         艰难的，费力的
talent          天赋，才能
evolution       演变，发展
norm			规范，标准
commercially    商业上的，工业上的
seldom			很少，几乎不
presage			预示，前兆
disclose		泄露，揭开
discernible     可辩别的，可识别的
proliferation   增生，扩散
reiterate		重申，重述
elapse			流逝(时间)，过去
within			内部，在……之内
cost			成本,费用
mechanism		机制，机构
mandate			授权，要求
separate 		分离的，单独的
derive			派生，由来
efficiency      效率，功效
alter			更改，修改
repeatedly		重复地
impact          冲击，影响力
spray			喷雾，喷射
enhance			加强，增强
comfirm			确认
incorrect		不正确
vote			投票，选举
pattern			模式，方式
paradise		天堂，乐园
bash			猛击，重击
transparent     透明的 
permanently     永远的，永久的
gender			性别
overlay         覆盖，重叠
aforementioned  上述的，前面提到的
telepathy       传心术，通灵术
antivirus		杀毒，反病毒
pending         待定，即将发生的
pick			选择，挑选
axis			坐标轴，轴线
rot				腐烂，腐朽
damage			损害，伤害，破坏
shake           摆脱，动摇
vibration		振动，摆动
bullet			子弹，枪弹
bias			偏，斜
temple			寺庙
inventory       库存，存货
duration		持续时间，期间
prologue		序幕，序言
coupon			优惠券
storage			存储
assign          指定，分配
bacteria		细菌
invite			邀请
disturb			打扰，干扰
kick			踢
bonus			奖金，奖励
durability      耐久度，持久性
vocation		职业，行业
enchant			附魔
proper 			适当的，正确的
decompose		分解，腐败
alchemy			炼金术
blacksmith		铁匠，铁匠铺
synthesis		综合，合成
emphasis		重点，重视，强调
smash			粉碎，打碎
debut			初次登场，出道
efficient		高效的，有效的
bandwidth		宽带
vary			不同，变化
numeration		计数，编号
proof			证明，论证
duplicate		重复，模仿
implicit		隐式，含蓄的
recipe			方法，秘诀，配方
cheer			欢呼，喝彩，加油
placeholder     占位符
delivered		交付
whisper			耳语，私语
Renewal         更新
lobby			大厅，大堂
Resolves        分辨，解析
locate			找出……准确地点  确定……的准确位置
manifest		清单，表明，显现
suppress		抑制
bundle			包，捆，一批
parse    		解析
daemon			守护进程
fragment 		片段，分割
component		组件，构件，成分
appearance      外观
intent  		意图，目的	
verbose         详细
delay			延迟
approve			批准
pattern			模式 
field			字段
prior			事先
establish		建立
silver			银色
ambient         周围
humidity        湿度
pressure        压力，压强
accuracy        准确性
motion          动作，运动
measure         计量，测量
condition       条件
infer           推断，臆测
acceleration    促进
compass         罗盘，指南针
identify        辨认，认出
retain          保留，保持
assets	        资产
synthesize      合成，综合
deprecated      弃用
strategy        策略，战略
span            跨度
spoof           欺骗，耍弄
Monitor         监控，监测
via             通过，经由
issue           问题，发出，发行
convention      常规，习俗，惯例
probably        大概，或许
ships with      附带
significant     重大，重要
Exposes         公开，暴露
avoid           避免，防止
discover        发现，检测
supply          提供
encapsulate     封装
restrictions    限制
primitive       原始
represent       表示，代表
sensor          传感器
correspond      对应，符合
annotation      注释
implement       实行，实施
frequently      常常，经常
category        类别
implicit        隐式的
resolve         解决
variety of      各种
integrate       结合，综合
particular      特殊，特别，特定
prepare         准备
diagram         图，图表
consume         消耗，消费
orientation     方向
as per          按照
vibration       震动，振荡
standalone      独立
interacts with  与之交互
appropriate     合适，适当
attribute       属性
router          路由器
supply          供应，提供
separate        分离，分开
imply           意味着
abuse           滥用
prevent         避免，防止
gesture         手势
Alert           警报
vibrate         振动
snippet         片段
illustrates     说明
pattern         模式
pending         听候，有待，未决定
facilitate      便利，使...容易
policy          政策，方针
introduce       采用，介绍
snooze          打盹
gesture         手势，比划
appropriate     合适，适当
inform          通知，告知
Supply          供应，提供
hierarchy       阶层，等级制度
recipient       接收者
related         有关
extension       延期，伸展，扩充
transition      过度，过渡
layer           层
concept         概念
stretchable     伸展
canvas          帆布，画布
individual      个人，个体
desired         期望，愿望
torch           火炬
detecting       检测
Inherited       继承，遗传
externalize     外部化，表达
alternative     替代
animation       动画  
Arbitrary       随意
alias           别号
Introduced      采用，介绍
hovered         徘徊
compound        复合，合成
thumb           翻阅，拇指
Measure         测量
span            跨度，广度
Indicate        表明，意味着
Agent           代理人，经纪人
slide           滑动
collapse        崩塌，倒塌，破产
fade            掉色，褪色，平凡的
complex         复杂，综合
distance        距离
latitude        纬度
longitude       经度
estimate        预计,估计
approximate     近似，大概
proximity       接近
pave            铺平，铺设
innovative      创新 
Glossary        词汇表
deliver         交付，传递
Scheduling      调度
encapsulate     封装
encompass       环绕，周围
Aggregation     聚合
annotation      注解 
metadata        元数据
Suppress        压制，抑制
suspicion       怀疑，嫌疑
tease out       梳理出 
prefix          字首，词头  
isolation       隔离
decorator       装饰
repository      知识库       
mature          成熟
neophyte        新手
audience        听众，读者
emerge          出现，产生
de-facto        事实上的
grow            增长，生长
modern          现代，现今 
collaboration   合作
unison          和谐,齐奏 
intrinsic       固有
facilitate      促进，使...容易
tempting        诱人的,迷人的
empower         授权,允许
circa           大约
consume         消耗,消费
wiser           明智，高明
naturally       自然，理所当然 
afford          给予 
rapidly         急速
drastically     大幅
As mentioned    如上所述
archetype       原型，榜样 
Male            男
Female          女
expires         到期
persistence     坚持，续编
Distributed     分布式，分散式
compress        压缩
gratis          免费
compatible      兼容 
primitive       原始
precise         精确，确切
initially       原来
modeled         仿造 
efficient       有效的
mechanism       机制
optimize        优化
generate        生成
no matter       不论
Varargs         可变参数 
oppose          反对，相对
schedule        时间表，进度
enqueue	        排队
queue           队列
manipulate      操作，操纵 
constitute      构成，组成
periods         时期，时段
overall         总体，整体
widget          小部件
prevent         避免，防止
encompasses     包括，周围
In particular   尤其是
Inform          通知，告知
Scene           现场，情景
generation      代
as a result     结果是 
proven          证明   
influence       影响，势力
Exclusive       独家，独占
raster          光栅
Confine         局限，管制
immense         巨大，庞大 
dedicated       专用
frequency       频率，次数
generate        产生，生成
interpolation   插值
Drop            下降
compensation    赔偿金
collision       碰撞，冲突
isolate         隔离，孤立
restriction     限制
critical        危急
perceptible     察觉 
diagnose  		诊断
Attempt   		尝试，企图
incorrectly 	不正确的
strange    		奇怪
issue     		问题
stage     		阶段
recipe    		食谱，方法
potential 		潜在
stick with 		坚持
repeated  		重复
discouraged 	灰心，泄气
investigate  	调查，考察
narrow down 	缩小
spot	 		点
fetch     		取
entire    		整个
companion 		伙伴，同伴
comprehensive	全面，详尽 
consume   		消耗，耗费
proper    		正确，合适
concept   		概念
Principles 		原则，原理
insight   		眼光，慧眼
Inspiration		灵感，鼓舞
glossary   		词汇表
snappy    		瞬间
Resolver  		分解器
purely    		纯粹，单纯
emphasize 		注重，强调
exact     		精确，确切 
various   		各个
master    		主，好手，精通
entertainment   娱乐
establish 		建立，创建
facilitate 		促进，便利 
ruled out 		排除
accelerate 		加速，加快
hence     		于是，此后 
evolved         进化，发展
scheduler		调度
Traditional		传统
presenter		主持人
leak			泄漏，漏洞     
retain  		保留
regarding	 	关于
flexibility		灵活性
deliberately	故意
stable 			稳定
contribution 	贡献，捐助
complex 		复杂
metrics 		指标
mileage			里程
curate 			策划
boilerplate 	样板
trend 			趋势，潮流
slightly 		略，丝毫
Observer		观察，观察者
Subject 		主题(被观察者)，科目
flexible  		灵活
roughly  		大致，大概
expires 		到期 
persistent 		一贯，固执
fluent 			流利，畅达
sensitive       敏感，识相
immediate 		即时，立即
notably 		特别是
formerly        以前，原来
Utility  		效用
rely on 		依靠
circuit 		电路，线路
Interceptor     拦截器
govern  		治理
guarante        保证，担保
Aspect          方面
Oriented        面向
commercial      商业的
manipulation    操作
interceptor     拦截器
Persistence     坚持
claim           要求，声称
acquire         获得，取得
paves           铺平
ease  			缓解，减轻
serves          供应，服务
Clique          集团，派
Audience        听众，读者
robust			强大的				
Furthermore		此外
potentially     可能
sophisticate    复杂的
focal           焦，焦点
tedious         乏味
integration     整合，一体化
distinct  		不同，分明
teardown        拆除
instruct        指导
comfortable     安逸，自在
arbitrary       随意，随便
distinct        不同
concern    		关心，顾虑
Consistency     一致，一致性
Isolation       隔离
Audience 		听众，读者
Propagation     传播
generate  		生成，产生
Alternatively   另外
concept 		概念
frequently		经常，频繁
Repository   	知识库
wire 			线，导线
illustrate      说明
merely			仅仅，只是
senior 			前辈，年长的
Holder 			持有人
populate 		填充，移民
Ritual			仪式，礼仪
concentration   浓度，专心，精选
Brain 			大脑
dialect 		方言
infrastructure  基础设施
moderate 		中等，和蔼
tabular			表格式的					
impedance		阻抗
etc 			等等
concept 		概念
facility  		设施，便利
persist 		坚持
persistent 		一贯，固执
isolate 		隔离，孤立
rudimentary     初步，低级 
brief 			简要，简短
conform 		符合，顺应
emphasize       注重，强调
instruct 		指示，指令
compliant		兼容
involved   		参与
rarely  		很少
semantics  		语义
cardinality 	基数
vice versa		反之亦然
simultaneously  同时
distribution 	分配
strategy 		战略
catalogue 		目录
aliases  		别名
narrow 			狭窄，缩小
Criteria 		标准，规范
Pagination   	分页
mandatory 		强制性
declarative 	陈述
widely 			广泛
skeletal		骨骼
assist 			助攻，协助
cumbersome 		笨重，累赘的
boilerplate 	样板
eliminate 		消除
umbrella  		雨伞
Instant 		瞬间，即刻
flow 			流
scenarios 		场景
enhance 		增强
Topologies 		拓扑
mechanism  		机制
arbitrarily 	任意地，武断地
perpetual       永久的



//===================================================================================================


<a href="http://viva1.top/c-shutdown/ ">ShutDown</a>
<a href="http://viva1.top/intent-使用/">Intent 使用</a>
<a href="http://viva1.top/android-service/">Service</a>
<a href="http://viva1.top/sqlite3-数据库使用/">SQLite3 数据库使用</a>
<a href="http://viva1.top/text-to-speechtts-语音功能使用/">Text To Speech(TTS) 语音功能使用</a>
<a href="http://viva1.top/sharedpreference-使用/">SharedPreference 使用</a>
<a href="http://viva1.top/progressbar-使用/">ProgressBar 使用</a>
<a href="http://viva1.top/开机自动播放音乐/">开机自动播放音乐</a>
<a href="http://viva1.top/android-通知使用/">Android 通知使用</a>
<a href="http://viva1.top/android-选择器使用/">Android 选择器使用</a>
<a href="http://viva1.top/android-switch-控件使用/">Android Switch 控件使用</a>
<a href="http://viva1.top/判断当前网络类型/">判断当前网络类型</a>
<a href="http://viva1.top/listview-及-adapter-使用/">ListView 及 Adapter使用</a>
<a href="http://viva1.top/android-获取系统信息/">Android 获取系统信息</a>
<a href="http://viva1.top/android-再按一次退出应用/">Android 再按一次退出应用</a>
<a href="http://viva1.top/autocompletetextview-控件使用-自动提示/">AutoCompleteTextView 使用</a>
<a href="http://viva1.top/android-layoutinflater-使用/">Android LayoutInflater 使用</a>
<a href="http://viva1.top/android-获取网络图片和数据/">Android 获取网络图片和数据</a>
<a href="http://viva1.top/android-音频和视频播放/">Android 视频和音频播放</a>

<a href="http://viva1.top/jsp-九大内置对象/">JSP 九大内置对象</a>
<a href="http://viva1.top/cookie-机制/">Cookie 机制</a>
<a href="http://viva1.top/http-协议/">HTTP 协议</a>
<a href="http://viva1.top/servlet-开发/">Servlet</a>


htons()--"Host to Network Short"
htonl()--"Host to Network Long"
ntohs()--"Network to Host Short"
ntohl()--"Network to Host Long"
				

